"id","학년","이수구분","학수번호_수업번호","교과목명","교강사","학점","시간","강의실","강의평","요일","시작교시","종료교시"
5167,"미정","전공선택","7459606","확률통계론","최성택",3,"화(10:30-12:00),수(13:00-14:30)","제1공학관502강의실,제2공학관311강의실","",,,
5168,"미정","전공선택","7459607","융합전자설계입문","윤동원",1,"화(18:30-19:30)","제2공학관302강의실","",,,
5169,"미정","전공선택","7459608","반도체소자","유호천",3,"월(14:30-16:00),수(09:00-10:30)","제2공학관204강의실","",,,
5170,"미정","전공선택","7459609","AI시대쓰기의힘","이나윤",2,"월(09:00-11:00)","제1공학관507강의실","",,,
5171,"미정","전공선택","7459610","공학도를위한창의적컴퓨팅","원정임",3,"목(11:00-13:00),금(15:00-17:00)","제2공학관207강의실,제2공학관정석현PC2","",,,
5172,"미정","전공선택","7459611","공학입문설계","윤수경",3,"화(13:00-15:00),목(11:00-13:00)","제2공학관공학입문설계실","",,,
5173,"미정","전공선택","7459612","공업수학2","김주형",3,"월(13:00-14:30),목(13:00-14:30)","제1공학관508강의실","",,,
5174,"미정","전공선택","7459613","상상과학성찰","권무순",2,"수(11:00-13:00)","제1공학관201강의실","",,,
5175,"미정","전공선택","7459614","알고리즘및문제해결기법","박희진",3,"금(10:30-12:00)","비지정(),IT.BT관508강의실","",,,
5176,"미정","전공선택","7459615","신호와시스템","오윤선",3,"월(16:00-17:30),화(16:00-17:30)","제1공학관203강의실","",,,
5177,"미정","전공선택","7459616","전자장","정해준",3,"월(10:30-12:00),수(10:30-12:00)","제1공학관508강의실,제1공학관303강의실","",,,
5178,"미정","전공선택","7459617","커리어개발Ⅱ:취.창업진로포트폴리오","송익현",1,"수(17:30-18:30)","제2공학관204강의실","",,,
5179,"미정","전공선택","7459618","인공지능및응용","원영준",3,"목(13:00-14:30)","비지정(),IT.BT관203강의실","",,,
5180,"미정","전공선택","7459619","건축환경공학","민현준",3,"금(16:00-17:30),금(17:30-19:00)","제1공학관203강의실","",,,
5181,"미정","전공선택","7459620","건축설계스튜디오8","노승범",6,"토(09:00-11:00),토(11:00-15:00),토(15:00-19:00)","비지정()","",,,
5182,"미정","전공선택","7459621","조경이론및설계","임한솔",3,"수(09:00-10:30),수(10:30-12:00)","제1공학관408강의실","",,,
5183,"미정","전공선택","7459622","AI시대쓰기의힘","황인건",2,"월(09:00-11:00)","제1공학관209강의실","",,,
5184,"미정","전공선택","7459623","자성재료","윤종승",3,"수(11:00-13:00),금(11:00-13:00)","제2공학관207강의실,제2공학관510강의실(녹화전용)","",,,
5185,"미정","전공선택","7459624","문화기술인간","구재령",2,"금(15:00-17:00)","제1공학관406강의실","",,,
5186,"미정","전공선택","7459625","현대물리학","오누리",3,"수(16:00-17:30),목(13:00-14:30)","제1공학관103강의실","",,,
5187,"미정","전공선택","7459626","통합사고와읽기의기술","김선화",2,"화(11:00-13:00)","제1공학관602강의실","",,,
5188,"미정","전공선택","7459627","데이터사이언스기반의사결정지원","김은찬",3,"금(16:00-17:30),금(17:30-19:00)","IT.BT관203강의실","",,,
5189,"미정","전공선택","7459628","인공지능이해","강창묵",3,"수(10:30-12:00),목(10:30-12:00)","제2공학관502강의실","",,,
5190,"미정","전공선택","7459629","실용공학연구2","이수기",1,"시간미지정강좌",,"",,,
5191,"미정","전공선택","7459630","고분자물성","고민재",3,"월(10:30-12:00),수(10:30-12:00)","신소재공학관707호/708호,제1공학관204강의실","",,,
5192,"미정","전공선택","7459631","실용공학연구2","윤채옥",1,"시간미지정강좌","비지정()","",,,
5193,"미정","전공선택","7459632","실용공학연구4","박희진",1,"시간미지정강좌","비지정()","",,,
5194,"미정","전공선택","7459633","컴퓨터보안","임을규",3,"월(09:00-10:30),수(09:00-10:30)","IT.BT관508강의실","",,,
5195,"미정","전공선택","7459634","생체신호처리","임창환",3,"월(13:00-14:30),화(13:00-14:30)","IT.BT관208강의실","",,,
5196,"미정","전공선택","7459635","공학도를위한창의적프로그래밍","장병철",2,"화(09:00-10:00),화(10:00-11:00)","제2공학관SW융합실습실(507)","",,,
5197,"미정","전공선택","7459636","데이터베이스시스템및응용","이경용",3,"화(15:00-16:30),화(16:30-18:00)","인텔리전스컴퓨팅룸3","",,,
5198,"미정","전공선택","7459637","전자회로2","최병덕",4,"화(10:30-12:00),목(10:30-12:00),수(11:00-13:00)","제2공학관208강의실,제2공학관208강의실,공업센터응용설계실(611)","",,,
5199,"미정","전공선택","7459638","융합전자공학종합설계2","신동준",1,"시간미지정강좌","비지정()","",,,
5200,"미정","전공선택","7459639","AI시대쓰기의힘","최가은",2,"월(09:00-11:00)","제1공학관501강의실","",,,
5201,"미정","전공선택","7459640","테크노경영학(스타트업종합설계)","김수진",3,"월(13:00-14:30)","제1공학관509강의실,","",,,
5202,"미정","전공선택","7459641","시스템플래닝실습","이욱",3,"화(13:00-16:00)","IT.BT관203강의실","",,,
5203,"미정","전공선택","7459642","건설환경공학종합설계2","유재석",1,"시간미지정강좌","비지정()","",,,
5204,"미정","전공선택","7459643","스마트그리드","장문석",3,"시간미지정강좌,시간미지정강좌","비지정()","",,,
5205,"미정","전공선택","7459644","건축융합설계2","박운종",3,"목(13:00-14:00),목(14:00-18:00)","공학실험스튜디오2-1","",,,
5206,"미정","전공선택","7459645","환경과생태건축","전진용",3,"금(13:00-14:30),금(14:30-16:00)","건축관IC-PBL강의실(601)","",,,
5207,"미정","전공선택","7459647","융합전자공학종합설계2","정기석",1,"시간미지정강좌","비지정()","",,,
5208,"미정","전공선택","7459648","융합전자공학종합설계2","홍제형",1,"시간미지정강좌","비지정()","",,,
5209,"미정","전공선택","7459649","캡스톤디자인:반도체소자","정재경",3,"목(09:00-11:00),목(11:00-13:00)","제2공학관311강의실","",,,
5210,"미정","전공선택","7459650","데이터베이스시스템","원영준",3,"목(10:30-12:00)","비지정(),IT.BT관508강의실","",,,
5211,"미정","전공선택","7459651","건축구조역학","정지훈",3,"화(09:00-10:30),화(10:30-12:00)","제1공학관205강의실","",,,
5212,"미정","전공선택","7459653","건축과도시설계","손주휘",3,"금(09:00-10:30),금(10:30-12:00)","제1공학관405강의실","",,,
5213,"미정","전공선택","7459654","건축시공계획","현길용",3,"수(13:00-14:30),수(14:30-16:00)","제1공학관204강의실","",,,
5214,"미정","전공선택","7459655","인공지능과기계학습","성기혁",2,"시간미지정강좌",,"",,,
5215,"미정","전공선택","7459656","상상과학성찰","김성희",2,"수(11:00-13:00)","제1공학관507강의실","",,,
5216,"미정","전공선택","7459657","건축설계스튜디오2","서진석",6,"화(13:00-14:00),금(13:00-14:00),화(14:00-18:00),금(14:00-18:00)","비지정()","",,,
5217,"미정","전공선택","7459658","건축설계스튜디오4","함인선",6,"월(13:00-14:00),목(13:00-14:00),월(14:00-18:00),목(14:00-18:00)","비지정()","",,,
5218,"미정","전공선택","7459659","Adventure_Design(건축융합2)","윤병희",3,"화(13:00-14:00),화(14:00-18:00)","융합공학스튜디오3","",,,
5219,"미정","전공선택","7459660","건축융합설계2","백준현",3,"목(13:00-14:00),목(14:00-18:00)","융합공학스튜디오1","",,,
5220,"미정","전공선택","7459661","고분자구조물리","위정재",3,"월(14:30-16:00),수(14:30-16:00)","신소재공학관318호세미나실","",,,
5221,"미정","전공선택","7459662","에너지환경기술","도시현",3,"월(13:00-14:30),수(13:00-14:30)","인텔리전스컴퓨팅룸2","",,,
5222,"미정","전공선택","7459663","에너지공학캡스톤PBL(ESS에너지효율화솔루션)","도시현",3,"월(17:00-19:00),화(17:00-19:00)","인텔리전스컴퓨팅룸2","",,,
5223,"미정","전공선택","7459664","미래모빌리티및스마트제조PBL2","김동립",3,"수(15:00-16:00),수(16:00-20:00)","비지정()","",,,
5224,"미정","전공선택","7459665","기초신경과학","이제연",3,"화(13:00-14:30),목(13:00-14:30)","IT.BT관201강의실,IT.BT관208강의실","",,,
5225,"미정","전공선택","7459666","생체공학연구실현장실습4","김선정",1,"시간미지정강좌","비지정()","",,,
5226,"미정","전공선택","7459667","커리어개발Ⅱ:취.창업진로포트폴리오","김성환",1,"화(12:00-13:00)","IT.BT관208강의실","",,,
5227,"미정","전공선택","7459669","마이크로프로세서응용","조영필",3,"월(11:00-13:00),수(11:00-13:00)","IT.BT관508강의실","",,,
5228,"미정","전공선택","7459670","시스템프로그래밍","설웅",3,"월(11:00-13:00),수(13:00-15:00)","IT.BT관609강의실","",,,
5229,"미정","전공선택","7459672","회계학","이윤기",3,"월(09:00-10:30),월(10:30-12:00)","IT.BT관202강의실","",,,
5230,"미정","전공선택","7459673","재무관리","안종창",3,"화(10:30-12:00),수(10:30-12:00)","IT.BT관207강의실","",,,
5231,"미정","전공선택","7459674","상상과학성찰","박민아",2,"수(11:00-13:00)","제1공학관602강의실","",,,
5232,"미정","전공선택","7459675","미분적분학2","권윤기",3,"월(10:30-12:00),수(09:00-10:30)","제1공학관403강의실","",,,
5233,"미정","전공선택","7459676","미분적분학2","박춘길",3,"수(13:00-14:30),금(09:00-10:30)","제1공학관403강의실","",,,
5234,"미정","전공선택","7459677","디지털논리설계","IGBAFE ORIKUMHI",4,"월(16:00-17:30),금(14:30-16:00),화(18:00-20:00)","제2공학관205강의실,제2공학관204강의실,퓨전테크놀러지융합전자공학부실험실1(202)","",,,
5235,"미정","전공선택","7459678","반도체소자","남인호",3,"화(14:30-16:00),목(14:30-16:00)","제2공학관205강의실","",,,
5236,"미정","전공선택","7459680","커리어개발Ⅱ:취.창업진로포트폴리오","권일한",1,"시간미지정강좌","비지정()","",,,
5237,"미정","전공선택","7459681","유체역학2","곽노균",3,"월(13:00-14:30),수(13:00-14:30)","제1공학관208강의실","",,,
5238,"미정","전공선택","7459682","반도체및MEMS공정개론","문승재",3,"월(13:00-14:30),수(13:00-14:30)","제2공학관510강의실(녹화전용)","",,,
5239,"미정","전공선택","7459683","원자로열수력학","송민섭",3,"수(10:30-12:00),금(14:30-16:00)","제2공학관510강의실(녹화전용)","",,,
5240,"미정","전공선택","7459684","원자로물리","홍서기",3,"목(10:30-12:00),금(13:00-14:30)","제1공학관401강의실","",,,
5241,"미정","전공선택","7459685","일반생물학","김백호",3,"금(13:00-14:30),금(14:30-16:00)","자연과학관B116강의실","",,,
5242,"미정","전공선택","7459686","신호와시스템","IGBAFE ORIKUMHI",3,"수(10:30-12:00),목(10:30-12:00)","제1공학관205강의실,제1공학관508강의실","",,,
