course_code,course_name,course_name_eng,professor_name,major_division,classification,grade,major_level,major_department,offering_department,day,start_time,end_time,location,credit,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오윤정,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),토,10:00:00,12:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오윤정,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),토,13:00:00,14:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오윤정,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),토,13:00:00,14:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오윤정,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),토,14:00:00,16:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오윤정,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),토,14:00:00,16:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오경준,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),수,19:00:00,20:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오경준,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),수,19:00:00,20:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,김홍규,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),수,19:00:00,20:00:00,서울 제2공학관 205강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,김홍규,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),수,19:00:00,20:00:00,서울 제2공학관 205강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오경준,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),수,20:00:00,22:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오경준,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),수,20:00:00,22:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,김홍규,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),수,20:00:00,22:00:00,서울 제2공학관 205강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,김홍규,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),수,20:00:00,22:00:00,서울 제2공학관 205강의실,3,,
